Gene	ENSEMBL	median (tumor)	median (normal)	log2FC	adj.p.val	Rank
AC005786.7	ENSG00000267436.1	1.655	3.68	-0.818	0.079	-1.10237290870956
AC005795.1	ENSG00000268034.1	0.08	0.1	-0.026	0.0947	-1.02365002099673
AC005863.1	ENSG00000205325.1	0.01	0	0.014	2.2E-05	4.65757731917779
AC005932.1	ENSG00000269019.1	0.07	0.12	-0.066	1.24E-17	-16.9065783148378
AC005943.2	ENSG00000267059.2	7.995	0.13	2.993	2.95E-31	30.5301779840218
AC005943.6	ENSG00000279009.1	1.865	0	1.519	0.0102	1.99139982823808
AC005944.2	ENSG00000267469.1	30.819	30.011	0.037	0.57	0.244125144327509
AC006007.1	ENSG00000230746.1	0	0.045	-0.063	2.71E-23	-22.5670307091256
AC006011.4	ENSG00000244563.1	7.495	6.75	0.132	0.00882	2.05453141486818
AC006014.7	ENSG00000242073.2	0.35	0.58	-0.227	1.72E-05	-4.76447155309245
AC006014.8	ENSG00000146722.11	0.475	1.06	-0.482	7.67E-22	-21.115204636051
AC006033.22	ENSG00000231916.1	0.595	0.43	0.158	3.58E-05	4.44611697335613
AC006042.6	ENSG00000227719.1	0.78	1.04	-0.197	8.52E-07	-6.0695604052333
AC006042.8	ENSG00000233264.2	0.05	0.135	-0.112	4.67E-24	-23.3306831194339
AC006077.3	ENSG00000279799.1	1.47	2.93	-0.67	1.65E-16	-15.7825160557861
AC006116.13	ENSG00000266932.1	0.04	0.07	-0.041	2.3E-07	-6.63827216398241
AC006116.15	ENSG00000267429.1	0.11	0.105	0.007	0.324	0.489454989793388
AC006116.17	ENSG00000267549.5	0.23	0.195	0.042	0.0647	1.1890957193313
AC006116.19	ENSG00000267298.1	0	0.06	-0.084	1.44E-19	-18.8416375079047
AC006116.20	ENSG00000267710.5	0.15	0.43	-0.314	1.57E-35	-34.8041003475908
AC006116.21	ENSG00000267606.1	0.06	0	0.084	0.0772	1.11238269966426
AC006116.22	ENSG00000266907.1	0.05	0.1	-0.067	3.32E-19	-18.478861916296
AC006116.24	ENSG00000267776.1	0.6	1.245	-0.489	1.9E-26	-25.7212463990472
AC006116.27	ENSG00000267459.1	1.975	2.025	-0.024	0.762	-0.1180450286604
AC006126.3	ENSG00000266958.1	0.17	0.13	0.05	0.00257	2.59006687666871
AC006126.4	ENSG00000267045.1	1.09	3.05	-0.954	1.72E-32	-31.7644715530924
AC006128.2	ENSG00000279716.1	2.06	18.758	-2.691	6.24E-58	-57.2048154103176
AC006129.1	ENSG00000268355.1	0.62	0.5	0.111	0.000953	3.02090709936167
AC006129.2	ENSG00000268027.5	0.39	0.7	-0.29	9.7E-09	-8.01322826573376
AC006160.5	ENSG00000249502.1	0.08	0.11	-0.04	6.02E-08	-7.22040350874218
AC006262.5	ENSG00000268621.5	0.035	0.11	-0.101	2.55E-09	-8.59345981956604
AC006272.1	ENSG00000269483.1	0.88	0.955	-0.056	0.305	-0.515700160653214
AC006273.4	ENSG00000272473.1	0.04	0.14	-0.132	1.64E-26	-25.7851561519523
AC006273.5	ENSG00000267530.2	0.45	0.685	-0.217	1.56E-07	-6.80687540164554
AC006277.2	ENSG00000253392.2	0.34	0.705	-0.348	1.69E-28	-27.7721132953863
AC006277.3	ENSG00000279452.1	0.455	1.015	-0.47	2.08E-17	-16.6819366650372
AC006372.4	ENSG00000234210.1	0	0.01	-0.014	2.08E-13	-12.6819366650372
AC006378.2	ENSG00000236861.6	0	0.065	-0.091	3.11E-18	-17.5072396109732
AC006386.1	ENSG00000279115.1	0.38	0	0.465	1.4E-15	14.8538719643218
AC006449.2	ENSG00000279119.1	24.44	32.413	-0.393	6.44E-11	-10.1911141326402
AC006486.10	ENSG00000279539.1	0.18	0.125	0.069	1.28E-09	8.89279003035213
AC006538.1	ENSG00000261342.1	0.56	0.585	-0.023	0.808	-0.092588639225414
AC006538.4	ENSG00000267001.1	0.01	0	0.014	3.51E-05	4.45469288353418
AC006547.13	ENSG00000236540.7	1.065	2.79	-0.876	4.42E-63	-62.3545777306509
AC006547.14	ENSG00000234409.6	0.2	0.63	-0.442	1.16E-18	-17.9355420107731
AC006547.8	ENSG00000243762.1	0.63	0	0.705	1.35E-08	7.86966623150499
AC006942.4	ENSG00000269194.1	2.19	3.925	-0.627	1.46E-21	-20.8356471442156
AC006946.12	ENSG00000235328.1	0	0.125	-0.17	1.57E-18	-17.8041003475908
AC006946.15	ENSG00000235478.4	0.325	0.34	-0.016	0.811	-0.090979145788844
AC006946.16	ENSG00000273203.1	0.29	0.61	-0.32	1.25E-13	-12.9030899869919
AC006946.17	ENSG00000273442.1	0.19	0.395	-0.229	5.66E-12	-11.2471835688117
AC006978.6	ENSG00000235859.5	4.275	4.915	-0.165	0.000804	-3.09474395125155
AC006994.1	ENSG00000231063.1	0	0.07	-0.098	2.9E-37	-36.537602002101
AC006994.3	ENSG00000279317.1	0.065	0.13	-0.085	0.00429	-2.36754270781528
AC007000.10	ENSG00000225726.1	0.09	0.3	-0.254	2.63E-36	-35.5800442515102
AC007009.1	ENSG00000244239.1	31.364	10.15	1.537	3.28E-74	73.4841261562883
AC007036.5	ENSG00000251660.1	0.37	0.325	0.048	0.601	0.22112552799726
AC007038.7	ENSG00000229127.1	0.26	1.325	-0.884	9.33E-76	-75.0301183562535
AC007040.11	ENSG00000258881.6	0.02	0.05	-0.042	3.7E-12	-11.431798275933
AC007041.2	ENSG00000235411.1	0.03	0.04	-0.014	0.304	-0.517126416391246
AC007128.1	ENSG00000229970.3	0.08	0.02	0.082	2.17E-11	10.6635402661515
AC007191.4	ENSG00000279407.1	0.615	0.55	0.059	0.0668	1.17522353752445
AC007192.6	ENSG00000269145.2	2.73	3.31	-0.209	0.881	-0.055024091587952
AC007193.10	ENSG00000269124.1	0	0.225	-0.293	2.27E-62	-61.6439741428069
AC007204.2	ENSG00000267268.1	0.03	0	0.043	0.00935	2.02918838912748
AC007228.11	ENSG00000269696.1	0.66	0.87	-0.172	2.87E-10	-9.54211810326601
AC007228.9	ENSG00000268568.1	2.06	1.765	0.146	0.00257	2.59006687666871
AC007229.3	ENSG00000267544.1	1.25	0.685	0.417	1.52E-19	18.8181564120552
AC007238.1	ENSG00000231043.3	0.26	0.2	0.07	4.4E-07	6.35654732351381
AC007246.3	ENSG00000231312.6	9.025	9.22	-0.028	0.767	-0.115204636051019
AC007249.3	ENSG00000217258.2	0.22	0.175	0.054	0.0117	1.93181413825384
AC007255.8	ENSG00000223813.2	0.15	0.425	-0.309	4.85E-31	-30.3142582613977
AC007256.5	ENSG00000213090.2	0.02	0.04	-0.028	5.5E-26	-25.2596373105058
AC007277.3	ENSG00000213981.8	0.01	0.02	-0.014	0.609	-0.215382707367125
AC007278.3	ENSG00000234389.1	0	0.08	-0.111	3.15E-44	-43.5016894462104
AC007279.2	ENSG00000230799.1	0.04	0.08	-0.054	2.44E-12	-11.6126101736613
AC007283.5	ENSG00000234431.2	2.51	1.31	0.604	8.19E-12	11.0867160982396
AC007285.6	ENSG00000227014.5	0.04	0.1	-0.081	3.62E-20	-19.4412914294668
AC007292.3	ENSG00000269318.1	0.19	0.385	-0.219	1.53E-42	-41.8153085691824
AC007292.6	ENSG00000267980.1	0.84	1.999	-0.705	7.47E-33	-32.1266793981846
AC007292.7	ENSG00000269425.1	0.41	0	0.496	6.66E-16	15.1765257708297
AC007318.5	ENSG00000172974.11	8.47	5.02	0.654	1.5E-16	15.8239087409443
AC007319.1	ENSG00000224063.5	0.04	0.175	-0.176	6.81E-19	-18.1668528880872
AC007326.1	ENSG00000279560.1	0.86	4.275	-1.504	2.09E-36	-35.6798537138889
AC007365.3	ENSG00000226756.1	0.17	0.11	0.076	1.58E-07	6.80134291304558
AC007381.3	ENSG00000228590.1	0.01	0.03	-0.028	7.64E-10	-9.11690664142431
AC007383.3	ENSG00000227946.1	5.97	5.44	0.114	0.0182	1.73992861201493
AC007383.4	ENSG00000231955.1	0.36	0.49	-0.132	0.541	-0.266802734893431
AC007389.3	ENSG00000235725.1	0.02	0	0.029	0.447	0.349692476868063
AC007392.3	ENSG00000232046.6	0.11	0.39	-0.325	1.08E-49	-48.9665762445131
AC007392.4	ENSG00000237179.5	0.04	0.285	-0.305	1.28E-51	-50.8927900303521
AC007405.4	ENSG00000234350.4	0.18	0.22	-0.048	0.00434	-2.36251027048749
AC007405.6	ENSG00000239467.5	2.985	2.33	0.259	1.81E-09	8.74232142513082
AC007566.10	ENSG00000244055.1	0.785	3.315	-1.273	3.85E-60	-59.4145392704915
AC007620.3	ENSG00000242539.2	1.54	1.86	-0.171	0.013	-1.88605664769316
AC007743.1	ENSG00000233251.7	0.17	0.93	-0.722	2.56E-95	-94.5917600346882
AC007773.2	ENSG00000267213.4	0.68	0.52	0.144	5.86E-05	4.23210238398191
AC007787.2	ENSG00000267610.2	0	0.03	-0.043	4.73E-28	-27.3251388592622
AC007787.3	ENSG00000279044.1	0.24	0.635	-0.399	9.07E-25	-24.0423927129399
AC007792.1	ENSG00000280103.1	0	0.215	-0.281	1.57E-36	-35.8041003475908
AC007796.1	ENSG00000267662.1	0	0.12	-0.164	6.1E-41	-40.2146701649892
AC007879.2	ENSG00000234902.6	0.08	0.17	-0.115	2.24E-19	-18.6497519816658
AC007879.5	ENSG00000223725.6	0.06	0.16	-0.13	3.53E-22	-21.4522252946122
AC007879.7	ENSG00000229647.1	0.14	0.32	-0.211	1.13E-15	-14.9469215565166
AC007899.3	ENSG00000224891.1	0.1	0.145	-0.058	1.62E-06	-5.79048498545737
AC007906.1	ENSG00000279018.1	0.08	0.09	-0.013	0.753	-0.123205023799299
AC007950.2	ENSG00000276651.1	0.03	0.05	-0.028	2.85E-12	-11.5451551399915
AC007952.4	ENSG00000266311.6	0.075	0.115	-0.053	0.000111	-3.95467702121334
AC007952.5	ENSG00000228157.4	0.07	0.52	-0.506	1.67E-71	-70.7772835288524
AC007952.6	ENSG00000197665.7	0.05	0.18	-0.168	7.19E-48	-47.1432711096171
AC007966.1	ENSG00000226747.6	0.15	0.19	-0.049	0.00386	-2.41341269532824
AC007969.5	ENSG00000233762.3	6.68	6.14	0.105	0.0953	1.02090709936167
AC008060.7	ENSG00000218672.1	0.01	0	0.014	8.59E-06	5.06600683616876
AC008063.2	ENSG00000230918.1	1.34	1.255	0.053	0.781	0.1073489661227
AC008063.3	ENSG00000233397.1	0.06	0	0.084	0.00177	2.75202673363819
AC008074.1	ENSG00000279644.1	0.25	0.09	0.198	7.77E-13	12.1095789811991
AC008074.3	ENSG00000223935.1	0.2	0.25	-0.059	0.000885	-3.05305672930217
AC008074.4	ENSG00000223863.1	0.355	0.295	0.065	0.292	0.534617148551582
AC008079.10	ENSG00000280007.1	0.03	0.1	-0.095	2.78E-57	-56.5559552040819
AC008088.4	ENSG00000260907.1	0.1	0.295	-0.235	1.04E-25	-24.9829666607012
AC008132.13	ENSG00000161103.11	0.08	0.06	0.027	0.00635	2.19722627470802
AC008132.15	ENSG00000182824.7	0.02	0	0.029	0.00121	2.91721462968355
AC008268.2	ENSG00000237510.7	0.02	0.065	-0.062	8.2E-06	-5.08618614761628
AC008269.2	ENSG00000229321.1	0	0.045	-0.063	4.93E-14	-13.3071530807228
AC008280.3	ENSG00000241114.1	0.25	0.11	0.171	0.273	0.563837352959244
AC008427.2	ENSG00000251583.1	0.05	0	0.07	6.27E-06	5.20273245916928
AC008592.3	ENSG00000251000.1	0.23	0.185	0.054	0.133	0.876148359032914
AC008592.8	ENSG00000272021.1	0.04	0.155	-0.151	4.66E-33	-32.33161408331
AC008746.12	ENSG00000267838.2	1.19	3.655	-1.088	1.19E-27	-26.9244530386075
AC008746.3	ENSG00000227407.1	0.015	0	0.021	0.298	0.525783735923745
AC008746.5	ENSG00000235681.1	0.46	1.5	-0.776	6.46E-23	-22.1897674820049
AC008753.6	ENSG00000228323.2	0.1	0.034	0.089	0.198	0.703334809738469
AC008781.7	ENSG00000228737.2	0.11	0.12	-0.013	0.185	-0.732828271596986
AC008937.3	ENSG00000225230.1	0.03	0	0.043	0.0898	1.0467236633327
AC008982.2	ENSG00000269688.1	0	0.07	-0.098	2.47E-07	-6.60730304674033
AC008985.1	ENSG00000278999.1	0.01	0.015	-0.007	0.000143	-3.84466396253494
AC008992.1	ENSG00000267636.1	0	0.29	-0.367	3.68E-63	-62.4341521813265
AC008993.2	ENSG00000282542.1	0.51	1.165	-0.52	3.22E-25	-24.4921441283042
AC009005.2	ENSG00000267751.5	2.525	0.91	0.884	2.9E-34	33.537602002101
AC009014.3	ENSG00000271824.1	0.87	0.23	0.604	2.86E-14	13.543633966871
AC009060.2	ENSG00000280006.1	0	0.14	-0.189	7.12E-30	-29.1475200063631
AC009065.4	ENSG00000279473.1	4.6	0	2.485	9.45E-65	64.0245681914908
AC009095.4	ENSG00000237718.2	0.06	0.22	-0.203	2.77E-48	-47.5575202309356
AC009120.11	ENSG00000275236.1	0.11	0.09	0.026	0.341	0.467245621007502
AC009120.3	ENSG00000239763.2	0.34	1.475	-0.885	1.68E-59	-58.7746907182741
AC009120.4	ENSG00000261404.5	0.09	0	0.124	0.0376	1.42481215507234
AC009120.5	ENSG00000260884.1	0.25	0.925	-0.623	7.8E-51	-50.1079053973095
AC009120.6	ENSG00000259972.2	4.185	19.295	-1.969	1.74E-46	-45.7594507517174
AC009133.21	ENSG00000275857.1	0.775	3.03	-1.183	5.41E-19	-18.2668027348934
AC009166.7	ENSG00000280344.1	0	0.01	-0.014	8.26E-24	-23.0830199526796
AC009228.1	ENSG00000242628.5	0	0.239	-0.31	7.45E-18	-17.1278437272517
AC009236.2	ENSG00000231054.1	0.04	0	0.057	0.37	0.431798275933005
AC009237.11	ENSG00000236431.1	0.64	0.745	-0.09	0.126	-0.899629454882437
AC009237.8	ENSG00000229689.3	1.17	1.065	0.072	0.191	0.718966632752272
AC009245.3	ENSG00000230383.1	0.71	0.4	0.289	3.18E-12	11.4975728800156
AC009299.2	ENSG00000235724.8	0.04	0.16	-0.158	1.98E-26	-25.7033348097385
AC009299.3	ENSG00000227403.1	0.44	0.75	-0.281	0.577	-0.238824186844269
AC009299.5	ENSG00000232320.6	0.915	1.21	-0.207	6.63E-08	-7.17848647159523
AC009303.2	ENSG00000279227.1	0.19	0.285	-0.111	6.33E-15	-14.1985962899826
AC009336.19	ENSG00000278500.1	0.05	0.33	-0.341	3.82E-48	-47.4179366370883
AC009403.2	ENSG00000216895.8	3.875	4.45	-0.161	0.0298	-1.52578373592374
AC009404.2	ENSG00000236255.1	0.55	1.575	-0.732	1.07E-48	-47.9706162223148
AC009473.1	ENSG00000234141.1	0.18	0.17	0.012	0.634	0.197910742118267
AC009478.1	ENSG00000225258.1	0.31	0	0.39	2.54E-15	14.5951662833801
AC009487.6	ENSG00000226121.2	0.08	0.1	-0.026	0.0878	-1.0565054840939
AC009495.2	ENSG00000235192.1	0.5	0.375	0.126	6.32E-05	4.19928292171762
AC009495.3	ENSG00000232411.1	0.11	0.17	-0.076	6.52E-07	-6.18575240426808
AC009495.4	ENSG00000229195.1	0.21	0	0.275	7.95E-07	6.09963287134353
AC009501.4	ENSG00000231609.5	0.45	1.235	-0.624	2.88E-09	-8.54060751224077
AC009505.2	ENSG00000235522.6	0	0.06	-0.084	2.23E-08	-7.65169513695184
AC009506.1	ENSG00000224152.1	2.745	3.02	-0.102	0.00845	-2.07314329105031
AC009542.2	ENSG00000231794.5	0.03	0.155	-0.165	2.35E-45	-44.6289321377283
AC009948.5	ENSG00000223960.6	3.08	8.03	-1.146	2.12E-58	-57.6736641390712
AC009948.7	ENSG00000238082.1	0.05	0.18	-0.168	1.52E-47	-46.8181564120552
AC009950.1	ENSG00000280755.1	0.205	0.52	-0.335	0.19	-0.721246399047171
AC009950.2	ENSG00000225963.7	0.45	1.1	-0.534	2.09E-42	-41.6798537138889
AC009961.3	ENSG00000226266.6	1.045	1.105	-0.042	0.931	-0.031050319018657
AC010084.1	ENSG00000229308.1	0.24	0.39	-0.165	4.83E-08	-7.31605286924849
AC010127.3	ENSG00000236107.7	0.02	0.08	-0.082	0.687	-0.16304326294045
AC010132.11	ENSG00000234983.1	0.01	0.125	-0.156	5.25E-30	-29.279840696594
AC010136.2	ENSG00000223923.1	0.14	0.605	-0.494	4.95E-63	-62.3053948010664
AC010148.1	ENSG00000235726.5	0.02	0.125	-0.141	4.14E-10	-9.3829996588791
AC010168.1	ENSG00000281457.1	147.165	112.193	0.388	0.82	0.086186147616283
AC010226.4	ENSG00000249249.1	1.415	2.715	-0.621	6.1E-39	-38.2146701649892
AC010240.2	ENSG00000235253.1	0.02	0.035	-0.021	9.08E-11	-10.0419141514789
AC010468.1	ENSG00000214784.4	0.805	0.39	0.377	2.86E-17	16.543633966871
AC010492.2	ENSG00000235081.1	0	0.04	-0.057	4.26E-16	-15.3705904008973
AC010504.2	ENSG00000267219.1	1.03	0.75	0.214	4.56E-16	15.3410351573356
AC010524.2	ENSG00000268686.1	0.43	0.14	0.327	3.96E-21	20.4023048140745
AC010525.4	ENSG00000267117.1	0.08	0.18	-0.128	7.16E-19	-18.1450869776921
AC010547.9	ENSG00000261611.5	0.21	0.44	-0.251	2.28E-39	-38.6420651529995
AC010642.1	ENSG00000267216.1	0.17	0.275	-0.124	2.08E-17	-16.6819366650372
AC010642.2	ENSG00000269794.1	0.02	0.05	-0.042	1.43E-19	-18.8446639625349
AC010649.1	ENSG00000267448.5	0.06	0.02	0.055	0.447	0.349692476868063
AC010733.5	ENSG00000232713.2	0.54	1.005	-0.381	1E-23	-23
AC010761.13	ENSG00000265205.1	0.1	0.235	-0.167	1.72E-19	-18.7644715530925
AC010761.8	ENSG00000264577.1	1.01	2.2	-0.671	9.28E-22	-21.0324520237811
AC010761.9	ENSG00000265474.1	0.79	2.73	-1.059	4.1E-31	-30.3872161432803
AC010883.5	ENSG00000234936.1	0.83	2.22	-0.815	4.3E-37	-36.3665315444204
AC010884.1	ENSG00000224509.2	0.07	0.05	0.027	0.18	0.744727494896694
AC010886.2	ENSG00000224414.1	0	0.01	-0.014	7.63E-40	-39.1174754620451
AC010890.1	ENSG00000226953.7	0	0.025	-0.035	0.00146	-2.83564714421556
AC010894.3	ENSG00000226853.2	3.12	1.905	0.504	1.42E-30	29.8477116556169
AC010900.2	ENSG00000232479.2	0.04	0.085	-0.061	2.31E-28	-27.6363880201079
AC010907.5	ENSG00000224661.1	0.06	0.11	-0.066	4.29E-15	-14.3675427078153
AC010976.2	ENSG00000231731.7	0.49	2.665	-1.298	3.75E-64	-63.4259687322723
AC010980.2	ENSG00000237732.9	0.09	0.23	-0.174	1.7E-19	-18.7695510786217
AC011239.1	ENSG00000224361.1	0.04	0.145	-0.139	3.4E-21	-20.4685210829577
AC011239.2	ENSG00000279526.1	0.27	0.855	-0.547	3.09E-39	-38.5100415205752
AC011284.3	ENSG00000236510.1	0.03	0	0.043	2.92E-07	6.53461714855158
AC011290.5	ENSG00000236015.1	0.52	2.71	-1.287	1.92E-53	-52.7166987712964
AC011294.3	ENSG00000233539.5	0.01	0.02	-0.014	0.0013	-2.88605664769316
AC011298.2	ENSG00000219159.4	0.04	0.07	-0.041	0.0131	-1.88272870434424
AC011322.1	ENSG00000233487.6	0.58	0.555	0.023	0.68	0.167491087293764
AC011330.13	ENSG00000275601.1	4.43	3.735	0.198	0.000504	3.29756946355447
AC011330.5	ENSG00000249839.1	0.08	0.19	-0.14	0.0237	-1.6252516539899
AC011523.2	ENSG00000267968.1	0.3	0	0.379	1.73E-21	20.7619538968712
AC011525.2	ENSG00000261400.1	0.08	0.05	0.041	0.0461	1.33629907461035
AC011525.4	ENSG00000267465.6	0.72	0.38	0.318	3.1E-08	7.50863830616573
AC011530.4	ENSG00000268434.5	0.1	0.27	-0.207	1.14E-29	-28.9430951486635
AC011551.3	ENSG00000268423.4	0.36	0.195	0.187	2.33E-13	12.632644078974
AC011558.5	ENSG00000279753.1	22.77	62.407	-1.415	4.42E-19	-18.3545777306509
AC011737.2	ENSG00000204196.5	37.63	19.7	0.9	1.16E-40	39.9355420107731
AC011738.4	ENSG00000231638.1	0.01	0.04	-0.042	7.83E-18	-17.1062382379421
AC011747.3	ENSG00000231435.1	0.02	0.06	-0.055	8.51E-15	-14.0700704399154
AC011747.4	ENSG00000236008.1	0.61	0.455	0.146	0.000101	3.99567862621736
AC011899.10	ENSG00000231980.1	0.02	0.01	0.014	8.87E-05	4.05207638016827
AC011899.9	ENSG00000233038.5	0.44	0.395	0.046	0.268	0.571865205971211
AC011933.2	ENSG00000228007.1	0.13	0	0.176	0.000217	3.66354026615147
AC011997.1	ENSG00000222017.1	0.08	0.06	0.027	0.00287	2.54211810326601
AC012005.3	ENSG00000279274.1	0.385	0.09	0.346	1.77E-14	13.7520267336382
AC012065.1	ENSG00000279307.1	1.52	0.645	0.615	7.56E-25	24.1214782044988
AC012065.5	ENSG00000233416.1	0	0.105	-0.144	0.000389	-3.41005039867429
AC012066.1	ENSG00000213197.3	0	0.085	-0.118	7.34E-30	-29.1343039400839
AC012074.2	ENSG00000235072.2	0.39	1.52	-0.858	1.98E-76	-75.7033348097385
AC012123.1	ENSG00000228835.1	0	0.04	-0.057	3.42E-16	-15.4659738939439
AC012146.7	ENSG00000234327.7	5.005	4.44	0.143	0.0115	1.93930215964639
AC012314.8	ENSG00000237017.1	0.32	1.025	-0.617	7E-37	-36.1549019599857
AC012358.4	ENSG00000227799.1	0.7	1.095	-0.301	3.78E-31	-30.4225082001628
AC012358.7	ENSG00000203327.2	0.07	0.26	-0.236	1.14E-44	-43.9430951486635
AC012358.8	ENSG00000240401.8	1.26	1.805	-0.312	5.52E-10	-9.2580609222708
AC012360.4	ENSG00000235319.1	0.13	0.07	0.079	0.000275	3.56066730616974
AC012360.6	ENSG00000238273.3	0.1	0.77	-0.686	4.28E-72	-71.3685562309868
AC012363.7	ENSG00000236878.1	0.06	0.165	-0.136	5.14E-29	-28.2890368810047
AC012363.8	ENSG00000227788.1	0.03	0.095	-0.088	1.11E-28	-27.9546770212133
AC012442.5	ENSG00000243389.1	0.22	0.195	0.03	0.616	0.210419287835575
AC012442.6	ENSG00000228251.1	0.3	0.255	0.051	0.0282	1.54975089168064
AC012445.1	ENSG00000229550.1	0.29	0.12	0.204	0.0397	1.40120949323689
AC012485.2	ENSG00000232306.1	0.12	0.275	-0.187	5.04E-19	-18.2975694635545
AC012501.3	ENSG00000242575.1	0	0.05	-0.07	3.75E-12	-11.4259687322723
AC012513.4	ENSG00000236478.2	0	0.03	-0.043	1.26E-14	-13.8996294548824
AC012513.6	ENSG00000231092.1	0.04	0	0.057	8.1E-07	6.09151498112135
AC012531.25	ENSG00000260597.1	0.1	0.02	0.109	2.59E-09	8.58670023591875
AC013264.2	ENSG00000231621.1	0.14	0.12	0.026	0.0463	1.33441900898205
AC013268.3	ENSG00000235721.1	0.04	0.09	-0.068	8.48E-18	-17.0716041477433
AC013271.3	ENSG00000186148.11	0.345	1.185	-0.7	2.83E-34	-33.5482135644757
AC013275.2	ENSG00000231013.1	0	0.02	-0.029	1.82E-06	-5.73992861201493
AC013460.1	ENSG00000229727.6	0.02	0.07	-0.069	5.27E-19	-18.2781893847875
AC013463.2	ENSG00000236283.3	2.7	1.29	0.692	1.3E-22	21.8860566476932
AC013472.3	ENSG00000205500.8	0	0.01	-0.014	7.42E-06	-5.12959609472097
AC013474.4	ENSG00000235128.1	0	0.05	-0.07	3.03E-40	-39.5185573714977
AC015849.16	ENSG00000270977.1	0.01	0	0.014	8.9E-05	4.05060999335509
AC015849.19	ENSG00000270871.1	0.21	0.985	-0.714	1.1E-49	-48.9586073148418
AC015849.2	ENSG00000270240.2	0.105	0.295	-0.229	1.18E-23	-22.9281179926939
AC015971.2	ENSG00000228363.2	0.18	0.26	-0.095	5.17E-07	-6.28650945690606
AC015987.1	ENSG00000224746.1	0.21	0.105	0.131	4.31E-09	8.36552272983927
AC016142.1	ENSG00000280141.1	0.07	0.03	0.055	0.648	0.188424994129407
AC016292.3	ENSG00000108958.4	1.58	0.885	0.453	1.56E-08	7.80687540164554
AC016549.1	ENSG00000281325.1	0	0.01	-0.014	2.3E-18	-17.6382721639824
AC016582.2	ENSG00000225868.6	0.07	0.235	-0.207	5.95E-28	-27.2254830342715
AC016629.3	ENSG00000269600.1	0.05	0.09	-0.054	6.91E-11	-10.1605219526258
AC016629.7	ENSG00000269032.1	1.49	1.07	0.267	0.0691	1.1605219526258
AC016700.5	ENSG00000231327.1	1.48	0.885	0.396	3.39E-17	16.4698003017969
AC016708.2	ENSG00000230076.1	0.985	0.72	0.207	0.00151	2.82102305270683
AC016712.2	ENSG00000235225.1	0.23	0	0.299	3.45E-10	9.46218090492673
AC016722.4	ENSG00000228925.1	0.14	0.66	-0.542	1.73E-63	-62.7619538968712
AC016730.1	ENSG00000227718.1	1.175	1.595	-0.255	0.4	-0.397940008672038
AC016734.2	ENSG00000228305.2	1.03	0.635	0.312	1.08E-11	10.966576244513
AC016735.2	ENSG00000231826.5	0.06	0.375	-0.375	1.96E-49	-48.7077439286435
AC016738.3	ENSG00000230140.5	0	0.16	-0.214	1.87E-20	-19.7281583934635
AC016738.4	ENSG00000223947.1	0.14	0.775	-0.639	1.05E-61	-60.9788107009301
AC016739.2	ENSG00000218175.2	25.62	16.04	0.644	1.05E-16	15.9788107009301
AC016747.3	ENSG00000212978.6	4.675	2.12	0.863	1.25E-30	29.9030899869919
AC016757.3	ENSG00000186235.10	0.2	0.865	-0.636	8.37E-61	-60.0772745420067
AC016831.7	ENSG00000233559.1	0.04	0.12	-0.107	2.92E-08	-7.53461714855158
AC016907.3	ENSG00000233862.5	0.03	0.05	-0.028	9.61E-06	-5.01727661233146
AC016910.1	ENSG00000232377.1	0	0.025	-0.036	2.24E-14	-13.6497519816658
AC016995.3	ENSG00000231367.5	0.74	1.54	-0.546	1.96E-38	-37.7077439286435
AC016999.2	ENSG00000229915.1	0.07	0	0.098	0.62	0.207608310501746
AC017002.1	ENSG00000240350.2	0.13	0.11	0.026	0.18	0.744727494896694
AC017002.2	ENSG00000224959.1	0	0.07	-0.098	1.13E-23	-22.9469215565166
AC017074.2	ENSG00000227359.1	0.56	0.425	0.131	0.000627	3.20273245916928
AC017104.6	ENSG00000224376.1	0.68	2.045	-0.858	4.57E-44	-43.3400837999302
AC017116.11	ENSG00000239775.1	1.745	3.34	-0.661	1.81E-11	-10.7423214251308
AC018442.1	ENSG00000235683.1	0.01	0.02	-0.014	3.23E-08	-7.4907974776689
AC018462.3	ENSG00000242735.1	0	1.125	-1.087	9.12E-55	-54.0400051616716
AC018647.3	ENSG00000227544.8	0.18	0.42	-0.267	1.06E-29	-28.9746941347352
AC018685.1	ENSG00000234929.1	0.1	0	0.138	1.52E-06	5.81815641205523
AC018738.2	ENSG00000237039.1	1.74	0.74	0.655	5.66E-05	4.24718356881173
AC018755.16	ENSG00000269388.1	1.325	0.81	0.361	9.13E-09	8.0395292224657
AC018755.17	ENSG00000267808.1	0.02	0.04	-0.028	1.66E-08	-7.77989191195995
AC018766.4	ENSG00000267896.1	4.77	12.795	-1.257	4.14E-34	-33.3829996588791
AC018766.6	ENSG00000268047.1	0.16	0.585	-0.45	4.43E-41	-40.3535962737769
AC018804.3	ENSG00000224087.1	1.515	1.16	0.22	0.00471	2.3269790928711
AC018804.6	ENSG00000227632.2	0.33	0.18	0.173	0.000248	3.60554831917378
AC018804.7	ENSG00000213225.7	0.695	1.03	-0.26	0.00173	-2.7619538968712
AC018816.3	ENSG00000235978.6	0.885	1.135	-0.18	0.0906	-1.04287180232319
AC018865.5	ENSG00000217289.3	0.135	0.1	0.045	0.124	0.906578314837765
AC018890.6	ENSG00000236449.1	0.01	0.045	-0.049	0.574	-0.241088107602026
