Gene_name	EnsemblID	Median(Tumor)	Median(Normal)	log2FC	FDR
ARAP2	ENSG00000047365	4.85	11.355	-1.079	9.19E-87
ARAP3	ENSG00000120318	4.74	28.824	-2.377	1.26E-202
ARC	ENSG00000198576	0.23	3.985	-2.019	1.20E-140
AREG	ENSG00000109321	11.955	32.941	-1.39	5.90E-27
ARG1	ENSG00000118520	0.09	3.67	-2.099	1.68E-116
ARGLU1	ENSG00000134884	39.325	248.43	-2.629	3.77E-169
ARHGAP10	ENSG00000071205	5.85	16.165	-1.325	2.22E-132
ARHGAP11A	ENSG00000198826	9.175	1.315	2.136	2.72E-199
ARHGAP15	ENSG00000075884	4.055	13.23	-1.493	6.50E-108
ARHGAP17	ENSG00000140750	22	46.339	-1.041	5.31E-126
ARHGAP18	ENSG00000146376	6.49	18.805	-1.403	8.74E-128
ARHGAP20	ENSG00000137727	0.43	2.57	-1.32	1.03E-144
ARHGAP25	ENSG00000163219	8.605	20.359	-1.153	2.33E-99
ARHGAP26	ENSG00000145819	5.51	15.985	-1.384	1.56E-108
ARHGAP27	ENSG00000159314	17.23	44.359	-1.315	1.03E-86
ARHGAP29	ENSG00000137962	2.985	26.883	-2.807	7.76E-217
ARHGAP30	ENSG00000186517	7.085	23.506	-1.6	1.97E-126
ARHGAP31	ENSG00000031081	2.585	13.14	-1.98	4.64E-192
ARHGAP33	ENSG00000004777	3.715	10.46	-1.281	2.85E-36
ARHGAP4	ENSG00000089820	15.84	75.94	-2.192	4.54E-109
ARHGAP44	ENSG00000006740	1.68	12.74	-2.358	9.33E-192
ARHGAP6	ENSG00000047648	0.495	14.735	-3.396	0.00E+00
ARHGAP9	ENSG00000123329	9.585	54.824	-2.399	2.62E-160
ARHGDIB	ENSG00000111348	110.461	239.618	-1.11	2.09E-64
ARHGEF1	ENSG00000076928	47.965	176.802	-1.86	1.76E-126
ARHGEF10	ENSG00000104728	4.7	33.425	-2.594	1.32E-229
ARHGEF10L	ENSG00000074964	8.665	22.325	-1.271	1.30E-100
ARHGEF15	ENSG00000198844	1.745	23.795	-3.175	3.85E-293
ARHGEF17	ENSG00000110237	7.545	59.309	-2.819	1.66E-218
ARHGEF19	ENSG00000142632	22.46	7.32	1.496	6.04E-119
ARHGEF2	ENSG00000116584	26.835	108.582	-1.977	2.86E-184
ARHGEF25	ENSG00000240771	10.075	22.81	-1.104	1.38E-62
ARHGEF26	ENSG00000114790	5.84	22.33	-1.77	2.94E-96
ARHGEF35	ENSG00000213214	11.625	3.675	1.433	1.07E-53
ARHGEF38	ENSG00000236699	0.42	2.785	-1.414	1.37E-95
ARHGEF39	ENSG00000137135	5.355	2.135	1.019	2.37E-67
ARHGEF4	ENSG00000136002	16.28	6.21	1.261	4.97E-36
ARHGEF40	ENSG00000165801	8.21	32.436	-1.86	1.37E-150
ARHGEF6	ENSG00000129675	3.16	16.84	-2.1	4.44E-197
ARHGEF7	ENSG00000102606	15.48	40.115	-1.319	1.32E-106
ARID4A	ENSG00000032219	3.775	9.955	-1.198	1.01E-147
ARID5A	ENSG00000196843	17.07	56.396	-1.667	7.03E-116
ARL17A	ENSG00000185829	4.12	9.525	-1.04	9.16E-50
ARL4C	ENSG00000188042	35.349	15.925	1.103	6.55E-66
ARL4D	ENSG00000175906	25.639	11.62	1.078	4.09E-20
ARL6IP1	ENSG00000170540	133.162	55.941	1.236	4.61E-134
ARL6IP6	ENSG00000177917	29.045	13.76	1.025	1.74E-95
ARMC1	ENSG00000104442	19.54	9.065	1.029	1.32E-132
ARMC9	ENSG00000135931	5.355	12.465	-1.083	3.44E-54
ARMCX1	ENSG00000126947	5.255	17.14	-1.536	1.53E-114
ARMCX4	ENSG00000196440	2.57	9.53	-1.561	1.34E-137
ARNTL	ENSG00000133794	7.44	24.04	-1.569	4.39E-124
ARNTL2	ENSG00000029153	19.74	1.7	2.941	1.76E-206
ARPC4-TTLL3	ENSG00000250151	3.9	16.39	-1.827	1.20E-153
ARRB1	ENSG00000137486	5.77	43.696	-2.723	9.50E-221
ARRB2	ENSG00000141480	31.129	149.333	-2.226	2.25E-224
ARRDC1	ENSG00000197070	37.314	77.646	-1.037	1.48E-66
ARRDC2	ENSG00000105643	12.335	66.826	-2.347	2.80E-199
ART4	ENSG00000111339	0.115	1.75	-1.302	9.06E-154
ARTN	ENSG00000117407	14.55	1.195	2.825	4.32E-111
ARVCF	ENSG00000099889	6.775	15.985	-1.127	7.03E-46
ASAH1	ENSG00000104763	77.096	206.392	-1.409	8.44E-109
ASAP3	ENSG00000088280	7.97	19.64	-1.202	9.44E-97
ASF1B	ENSG00000105011	21.87	1.595	3.14	6.55E-252
ASGR1	ENSG00000141505	1.48	4.475	-1.142	4.09E-104
ASGR2	ENSG00000161944	0.48	2.135	-1.083	1.47E-88
ASIC1	ENSG00000110881	2.495	0.69	1.048	2.47E-68
ASIC3	ENSG00000213199	0.9	5.595	-1.795	3.49E-110
ASMTL-AS1	ENSG00000236017	2.82	19.14	-2.398	3.68E-98
ASPA	ENSG00000108381	0.11	2.57	-1.685	2.41E-254
ASPM	ENSG00000066279	7.13	0.375	2.564	6.30E-246
ASRGL1	ENSG00000162174	5.255	28.964	-2.26	1.48E-133
ASUN	ENSG00000064102	23.51	9.415	1.235	8.53E-142
ASXL1	ENSG00000171456	22.41	49.9	-1.121	1.09E-75
ATAD2	ENSG00000156802	14.47	4.105	1.599	4.12E-159
ATAD3C	ENSG00000215915	1.935	5.135	-1.064	9.59E-35
ATF3	ENSG00000162772	31.195	85.686	-1.429	1.99E-42
ATF5	ENSG00000169136	38.525	18.64	1.009	5.13E-71
ATG16L2	ENSG00000168010	8.76	82.721	-3.101	3.61E-193
ATG2B	ENSG00000066739	4.145	10.215	-1.124	7.89E-96
ATHL1	ENSG00000142102	15.42	122.657	-2.913	8.42E-109
ATOH8	ENSG00000168874	1.83	50.72	-4.192	5.18E-263
ATP10A	ENSG00000206190	1.2	8.18	-2.061	2.73E-173
ATP11A	ENSG00000068650	9.045	42.779	-2.124	8.75E-150
ATP11B	ENSG00000058063	36.146	14.595	1.252	7.05E-74
ATP13A4	ENSG00000127249	2.62	35.62	-3.339	7.30E-165
ATP13A4-AS1	ENSG00000225473	0.06	2.395	-1.679	3.75E-50
ATP1A1-AS1	ENSG00000203865	1.425	4.31	-1.131	1.38E-115
ATP1A2	ENSG00000018625	0.13	5.58	-2.542	5.84E-256
ATP1B1	ENSG00000143153	137.205	57.386	1.243	8.28E-56
ATP1B2	ENSG00000129244	0.415	2.995	-1.497	1.33E-138
ATP2A3	ENSG00000074370	8.18	36.395	-2.026	3.55E-120
ATP2C2	ENSG00000064270	5.975	18.46	-1.48	7.79E-48
ATP5G1	ENSG00000159199	222.652	88.425	1.323	1.82E-119
ATP5G3	ENSG00000154518	317.86	152.868	1.051	1.58E-93
ATP5J2	ENSG00000241468	668.344	288.583	1.209	5.83E-129
ATP5J2-PTCD1	ENSG00000248919	6.105	2.135	1.18	1.50E-123
ATP5L	ENSG00000167283	404.5	193.185	1.062	3.87E-112
ATP6V0A1	ENSG00000033627	21.345	52.771	-1.267	5.09E-139
ATP6V1B2	ENSG00000147416	41.74	90.302	-1.095	1.32E-112
ATP6V1E2	ENSG00000250565	8.295	3.435	1.068	1.97E-85
ATP8A1	ENSG00000124406	1.7	14.83	-2.552	3.85E-212
ATP8B2	ENSG00000143515	8.825	25.279	-1.419	1.68E-94
ATXN7	ENSG00000163635	4.86	11.615	-1.106	4.42E-117
AUNIP	ENSG00000127423	3.79	0.3	1.882	1.00E-244
AURKA	ENSG00000087586	20.559	1.685	3.005	3.38E-297
AURKB	ENSG00000178999	32.225	2.285	3.338	6.48E-244
AVIL	ENSG00000135407	2.695	6.57	-1.035	1.70E-39
AXIN2	ENSG00000168646	2.96	18.2	-2.278	3.90E-163
AXL	ENSG00000167601	9.065	24.179	-1.323	2.50E-73
AZGP1	ENSG00000160862	2.7	10.09	-1.584	3.66E-18
AZIN1	ENSG00000155096	71.209	33	1.087	2.39E-99
AZU1	ENSG00000172232	0.07	4.2	-2.281	1.32E-161
B3GALNT2	ENSG00000162885	11.99	5.11	1.088	4.61E-85
B3GNT3	ENSG00000179913	4.91	0.32	2.163	6.77E-105
B3GNT5	ENSG00000176597	41.86	12.855	1.629	3.07E-88
B3GNT7	ENSG00000156966	3.875	16.53	-1.846	4.97E-106
B3GNT8	ENSG00000177191	5.355	13.305	-1.171	1.24E-36
B4GALNT1	ENSG00000135454	5.31	1.555	1.304	3.76E-55
B4GALNT4	ENSG00000182272	15.18	0.71	3.242	2.80E-161
B4GALT2	ENSG00000117411	48.2	20.78	1.176	4.19E-100
B4GALT4	ENSG00000121578	32.64	12.7	1.296	1.15E-87
BAG4	ENSG00000156735	10.435	4.29	1.112	1.60E-89
BAHCC1	ENSG00000266074	3.605	8.82	-1.093	8.33E-80
BAIAP3	ENSG00000007516	1.64	6.13	-1.433	5.07E-71
BANF1	ENSG00000175334	244.653	112.903	1.109	1.33E-125
BARX1	ENSG00000131668	3.075	0.03	1.984	1.11E-80
BARX2	ENSG00000043039	3.875	0.15	2.084	4.80E-83
BATF3	ENSG00000123685	3.37	8.95	-1.187	2.57E-82
BAZ2B	ENSG00000123636	8.245	18.085	-1.046	1.09E-96
BBOX1-AS1	ENSG00000254560	7.575	0	3.1	1.16E-213
BCAR3	ENSG00000137936	7.37	17.05	-1.109	1.12E-56
BCAS4	ENSG00000124243	11.755	3.26	1.582	6.88E-129
BCHE	ENSG00000114200	2.015	6.735	-1.359	4.23E-26
BCL11A	ENSG00000119866	13.85	1.62	2.503	7.99E-158
BCL2A1	ENSG00000140379	10.76	45.296	-1.977	3.55E-96
BCL2L10	ENSG00000137875	1.515	0.04	1.274	1.09E-114
BCL2L12	ENSG00000126453	33.225	13.225	1.267	2.47E-143
BCL3	ENSG00000069399	52.665	109.049	-1.036	7.06E-47
BCL6	ENSG00000113916	35.865	131.798	-1.849	8.73E-120
BCL6B	ENSG00000161940	2.8	20.22	-2.481	1.75E-206
BCO2	ENSG00000197580	1.26	3.84	-1.099	2.48E-73
BCRP3	ENSG00000215481	2.095	10.285	-1.866	2.90E-139
BDH1	ENSG00000161267	34.02	7.44	2.053	6.98E-119
BDH2	ENSG00000164039	17.6	50.471	-1.468	1.30E-144
BEND7	ENSG00000165626	2.885	11.29	-1.661	2.46E-102
BEST1	ENSG00000167995	1.74	10.115	-2.02	1.30E-226
BET1P1	ENSG00000241134	0	2.65	-1.868	2.60E-181
BEX1	ENSG00000133169	0.345	2.275	-1.284	3.85E-09
BEX5	ENSG00000184515	2.9	10.01	-1.497	4.28E-65
BHMT2	ENSG00000132840	0.38	3.92	-1.834	1.50E-122
BICC1	ENSG00000122870	2.165	5.405	-1.017	1.73E-54
BID	ENSG00000015475	63.46	20.54	1.581	4.85E-139
BIK	ENSG00000100290	13.63	1.475	2.563	2.28E-179
BIN2	ENSG00000110934	4.2	21.805	-2.133	8.62E-169
BIRC3	ENSG00000023445	7.25	18.045	-1.207	2.62E-41
BIRC5	ENSG00000089685	40.661	1.305	4.176	1.33E-300
BLM	ENSG00000197299	7.05	1.655	1.6	4.36E-157
BMP2	ENSG00000125845	3.525	12.415	-1.568	8.91E-77
BMP4	ENSG00000125378	3.185	9.07	-1.267	7.89E-52
BMP5	ENSG00000112175	0.505	7.035	-2.417	1.12E-159
BMP6	ENSG00000153162	1.43	7.415	-1.792	4.10E-114
BMP7	ENSG00000101144	46.011	1.66	4.143	5.78E-155
BMPER	ENSG00000164619	0.44	6.965	-2.468	1.61E-187
BMPR1APS2	ENSG00000232460	1.385	0.125	1.084	1.02E-69
BMPR2	ENSG00000204217	8.47	22.25	-1.296	1.62E-127
BMX	ENSG00000102010	0.31	2.885	-1.568	2.92E-153
BNC1	ENSG00000169594	8.65	0.08	3.159	1.49E-138
BNC2	ENSG00000173068	0.64	2.63	-1.146	5.22E-88
BOLA2	ENSG00000183336	16.49	6.81	1.163	5.03E-85
BOLA2B	ENSG00000169627	143.832	37.454	1.913	1.15E-192
BOLA3	ENSG00000163170	65.375	24.755	1.366	4.42E-124
BOP1	ENSG00000261236	44.475	19.58	1.144	5.16E-79
BORA	ENSG00000136122	6.265	1.965	1.293	2.87E-153
bP-21264C1.1	ENSG00000279208	0.23	4.56	-2.176	3.48E-169
bP-2189O9.2	ENSG00000278931	0.14	2.175	-1.478	4.31E-135
BPHL	ENSG00000137274	19.395	8.49	1.104	3.38E-103
BPI	ENSG00000101425	0.19	1.415	-1.021	1.00E-90
BRCA1	ENSG00000012048	7.575	2.065	1.484	4.05E-130
BRI3	ENSG00000164713	154.444	317.716	-1.036	1.51E-94
BRI3BP	ENSG00000184992	8.885	1.855	1.792	4.93E-212
BRICD5	ENSG00000182685	2.665	14.175	-2.05	5.90E-94
BRIP1	ENSG00000136492	2.77	0.28	1.558	2.58E-138
BRIX1	ENSG00000113460	56.449	15.29	1.818	6.66E-190
BST1	ENSG00000109743	3.21	13.255	-1.76	1.25E-104
BTAF1	ENSG00000095564	6.81	21.39	-1.519	3.97E-113
BTBD11	ENSG00000151136	5.535	0.39	2.233	3.19E-139
BTBD19	ENSG00000222009	1.57	12.635	-2.407	2.62E-184
BTF3L4P2	ENSG00000213189	57.12	20.97	1.404	2.29E-152
BTK	ENSG00000010671	3.935	22.94	-2.278	7.66E-193
BTN2A1	ENSG00000112763	10.955	25.67	-1.158	6.44E-124
BTN3A1	ENSG00000026950	14.8	33.989	-1.147	2.17E-83
BTN3A3	ENSG00000111801	9.97	28.435	-1.424	1.63E-101
BTNL8	ENSG00000113303	0.15	3.21	-1.872	2.30E-224
BTNL9	ENSG00000165810	1.115	147.461	-6.133	6.63E-291
BUB1	ENSG00000169679	13.67	1.135	2.781	5.43E-263
BUB1B	ENSG00000156970	11.765	1.01	2.667	5.22E-222
BYSL	ENSG00000112578	26.664	7.855	1.643	4.86E-153
BZRAP1	ENSG00000005379	4.7	20.33	-1.904	7.55E-109
BZW1P2	ENSG00000198406	21.655	8.13	1.311	7.68E-71
BZW2	ENSG00000136261	77.999	24	1.66	1.89E-174
C10orf10	ENSG00000165507	36.736	296.255	-2.978	4.47E-156
C10orf107	ENSG00000183346	0.205	1.695	-1.161	5.18E-76
C10orf128	ENSG00000204161	4.46	22.681	-2.117	3.36E-158
C10orf2	ENSG00000107815	8.15	2.435	1.413	1.27E-137
C10orf35	ENSG00000171224	15.305	5.205	1.394	4.29E-130
C10orf54	ENSG00000107738	26.255	109.064	-2.014	1.03E-165
C10orf95	ENSG00000120055	0.425	2	-1.074	2.52E-95
C10orf99	ENSG00000188373	7.345	0	3.061	5.70E-98
C11orf21	ENSG00000110665	0.355	5.38	-2.235	8.36E-233
C11orf96	ENSG00000187479	11.84	198.232	-3.956	1.13E-198
C12orf54	ENSG00000177627	4.61	0.39	2.013	6.08E-84
C12orf56	ENSG00000185306	5.095	0.03	2.565	2.27E-192
C12orf75	ENSG00000235162	35.189	11.895	1.489	1.87E-57
C14orf132	ENSG00000227051	1.945	13.31	-2.281	7.40E-178
C15orf41	ENSG00000186073	6.71	2.2	1.269	4.83E-135
C15orf48	ENSG00000166920	31.62	5.45	2.338	1.75E-87
C15orf52	ENSG00000188549	2.665	17.895	-2.366	1.08E-151
C16orf45	ENSG00000166780	4.19	15.53	-1.671	8.75E-104
C16orf59	ENSG00000162062	6.835	0.68	2.221	1.98E-194
C16orf74	ENSG00000154102	21.25	2.19	2.802	1.23E-159
C16orf86	ENSG00000159761	1.225	4.91	-1.409	1.42E-174
C16orf89	ENSG00000153446	5.66	70.572	-3.426	4.02E-111
C16orf93	ENSG00000196118	2.825	6.805	-1.029	5.92E-57
C17orf53	ENSG00000125319	6.01	0.76	1.994	8.17E-195
C17orf58	ENSG00000186665	9.93	4.44	1.007	1.84E-114
C17orf75	ENSG00000108666	18.805	8.645	1.038	3.64E-99
C17orf89	ENSG00000224877	79.53	35.666	1.135	7.90E-103
C17orf96	ENSG00000273604	3.45	1.03	1.132	5.13E-85
C19orf38	ENSG00000214212	1.635	5.725	-1.352	3.09E-112
C19orf48	ENSG00000167747	61.699	15.555	1.921	2.09E-182
C19orf66	ENSG00000130813	15.865	48.125	-1.542	3.81E-127
C19orf71	ENSG00000183397	0.695	2.585	-1.081	4.82E-91
C1orf106	ENSG00000163362	22.01	3.97	2.211	1.46E-179
C1orf112	ENSG00000000460	7.885	2.115	1.512	2.56E-180
C1orf115	ENSG00000162817	7.44	19.73	-1.296	4.88E-105
C1orf116	ENSG00000182795	8.82	36.111	-1.918	1.59E-80
C1orf132	ENSG00000203709	0.12	1.545	-1.184	1.24E-170
C1orf162	ENSG00000143110	11.455	74.078	-2.592	3.09E-176
C1orf167	ENSG00000215910	0.39	4.64	-2.021	5.83E-210
C1orf168	ENSG00000187889	0.155	2.105	-1.427	6.87E-127
C1orf186	ENSG00000263961	1.6	5.635	-1.352	8.01E-56
C1orf194	ENSG00000179902	0.55	5.49	-2.066	1.74E-41
C1orf198	ENSG00000119280	21.285	59.1	-1.431	9.21E-133
C1orf228	ENSG00000198520	1.98	12.565	-2.187	2.24E-172
C1orf74	ENSG00000162757	3.86	0.99	1.288	9.90E-152
C1QA	ENSG00000173372	141.822	344.019	-1.272	1.87E-41
C1QB	ENSG00000173369	157.908	485.019	-1.613	3.36E-50
C1QBP	ENSG00000108561	137.586	61.339	1.153	9.04E-94
C1QTNF1	ENSG00000173918	12.475	40.15	-1.611	2.47E-61
C1QTNF2	ENSG00000145861	0.335	2.075	-1.204	1.91E-143
C1QTNF5	ENSG00000223953	16.7	45.139	-1.382	1.76E-87
C1QTNF7	ENSG00000163145	0.29	4.955	-2.207	3.81E-208
C1R	ENSG00000159403	168.265	379.274	-1.168	1.99E-53
C1S	ENSG00000182326	163.675	362.816	-1.144	1.92E-50
C2	ENSG00000166278	27.185	90.174	-1.694	9.63E-43
C20orf24	ENSG00000101084	176.02	75.204	1.216	1.99E-99
C20orf85	ENSG00000124237	0.455	6.295	-2.326	1.24E-31
C21orf2	ENSG00000160226	11.55	30.275	-1.317	7.14E-112
C22orf34	ENSG00000188511	0.915	3.915	-1.36	6.63E-122
C2CD4A	ENSG00000198535	1.845	0.12	1.345	1.08E-68
C2CD4B	ENSG00000205502	0.7	3.49	-1.401	1.00E-55
C2orf40	ENSG00000119147	0.59	19.325	-3.676	7.39E-172
C2orf54	ENSG00000172478	3.225	9.78	-1.351	5.50E-33
C3	ENSG00000125730	189.033	552.296	-1.542	5.09E-68
C3AR1	ENSG00000171860	7.205	20.69	-1.402	9.48E-59
C3orf14	ENSG00000114405	18.99	7.295	1.269	1.67E-58
C3orf18	ENSG00000088543	1.935	5.22	-1.084	1.31E-84
C3orf35	ENSG00000198590	0.21	1.465	-1.027	1.45E-126
C3orf36	ENSG00000221972	0.28	3.31	-1.752	2.39E-126
C3orf58	ENSG00000181744	22.51	7.385	1.487	8.72E-68
C3orf62	ENSG00000188315	3.075	8.34	-1.197	5.37E-117
C3orf67	ENSG00000163689	4.17	0.31	1.981	9.92E-165
C4A	ENSG00000244731	30.73	85.695	-1.45	8.38E-54
C4B	ENSG00000224389	30.914	81.291	-1.367	2.14E-48
C4BPA	ENSG00000123838	4.7	44.041	-2.982	9.09E-42
C4BPB	ENSG00000123843	0.24	3.815	-1.957	1.28E-126
C4orf32	ENSG00000174749	0.97	3.34	-1.14	1.52E-165
C5	ENSG00000106804	1.545	5.535	-1.36	1.86E-71
C5AR1	ENSG00000197405	8.125	44.125	-2.306	2.67E-170
C5AR2	ENSG00000134830	0.5	4.755	-1.94	7.64E-178
C5orf22	ENSG00000082213	17.53	7.895	1.059	7.11E-112
C5orf45	ENSG00000161010	7.655	39.381	-2.222	2.83E-171
C5orf46	ENSG00000178776	1.71	0.165	1.218	2.26E-66
C5orf49	ENSG00000215217	0.49	2.075	-1.045	1.72E-32
C5orf56	ENSG00000197536	3.545	17.89	-2.055	1.80E-176
C5orf58	ENSG00000234511	0.355	2.21	-1.244	4.63E-62
C6	ENSG00000039537	0.13	1.3	-1.025	2.72E-66
C6orf132	ENSG00000188112	16.52	6.12	1.299	9.77E-79
C6orf183	ENSG00000243587	1.525	0.135	1.154	1.23E-103
C6orf25	ENSG00000204420	0.2	2.84	-1.678	3.20E-155
C6orf3	ENSG00000255389	0.24	1.62	-1.079	4.08E-177
C6orf49	ENSG00000278224	0.68	3.705	-1.486	9.83E-115
C7	ENSG00000112936	8.66	274.202	-4.832	1.22E-221
C7orf73	ENSG00000243317	41.75	18.745	1.114	3.09E-129
C8orf34	ENSG00000165084	0.32	2.255	-1.302	5.52E-121
C8orf34-AS1	ENSG00000248801	0.53	6.295	-2.253	7.75E-90
C8orf4	ENSG00000176907	36.354	135.012	-1.864	9.82E-72
C8orf46	ENSG00000169085	0.17	2.75	-1.68	8.81E-142
C8orf88	ENSG00000253250	0.98	4.22	-1.399	5.16E-72
C9orf117	ENSG00000160401	0.87	4.685	-1.604	2.58E-72
C9orf139	ENSG00000180539	0.195	1.83	-1.244	6.55E-181
C9orf152	ENSG00000188959	0.51	4.5	-1.865	5.76E-83
C9orf24	ENSG00000164972	1.33	5.645	-1.512	9.96E-34
C9orf72	ENSG00000147894	6.545	20.639	-1.52	2.08E-91
CA1	ENSG00000133742	0.05	1.215	-1.077	1.58E-101
CA12	ENSG00000074410	24.245	2.43	2.88	1.31E-96
CA3	ENSG00000164879	0.39	15.125	-3.536	7.60E-223
CA4	ENSG00000167434	0.36	79.795	-5.893	0.00E+00
CA9	ENSG00000107159	26.074	0.16	4.545	5.49E-149
CAB39L	ENSG00000102547	3.245	16.135	-2.013	2.48E-161
CABLES1	ENSG00000134508	3.295	11.96	-1.593	1.79E-104
CABP4	ENSG00000175544	0.25	2.54	-1.502	3.86E-183
CABYR	ENSG00000154040	8.145	1.4	1.93	1.44E-85
CACNA1C	ENSG00000151067	1.04	7.49	-2.057	4.53E-181
CACNA1D	ENSG00000157388	0.255	6.32	-2.544	2.32E-268
CACNA1H	ENSG00000196557	1.02	17.565	-3.2	2.16E-224
CACNA2D2	ENSG00000007402	1.365	38.015	-4.044	1.90E-214
CACNA2D4	ENSG00000151062	1.945	5.845	-1.217	6.69E-114
CACNB1	ENSG00000067191	3.22	16.26	-2.032	4.30E-148
CACNB2	ENSG00000165995	0.39	3.735	-1.768	9.21E-213
CACNG4	ENSG00000075461	0.8	5.26	-1.798	2.38E-47
CACYBP	ENSG00000116161	101.142	38.514	1.37	1.07E-104
CADM1	ENSG00000182985	10.575	31.25	-1.478	1.60E-57
CADM3	ENSG00000162706	0.55	3.715	-1.605	2.56E-91
CADM3-AS1	ENSG00000225670	0.05	1.975	-1.502	1.50E-193
CADM4	ENSG00000105767	19.181	4.375	1.909	5.39E-131
CADPS2	ENSG00000081803	5.605	18.265	-1.544	2.97E-103
CAHM	ENSG00000270419	0.51	2.725	-1.303	1.87E-126
CALCOCO1	ENSG00000012822	28.899	138.107	-2.218	1.60E-216
CALCOCO2	ENSG00000136436	48.775	119.378	-1.274	1.92E-132
CALCRL	ENSG00000064989	7.4	44.065	-2.424	2.23E-177
CALD1	ENSG00000122786	51.307	152.128	-1.55	3.52E-86
CALHM2	ENSG00000138172	10.25	31.49	-1.53	3.28E-131
CALM2P2	ENSG00000229097	1.44	6.77	-1.671	3.70E-119
CALML3	ENSG00000178363	120.316	0.07	6.825	5.30E-199
CALML3-AS1	ENSG00000205488	1.43	0.01	1.267	2.16E-113
CALML5	ENSG00000178372	3.3	0.395	1.624	3.37E-48
CAMK1	ENSG00000134072	9.025	27.751	-1.52	1.47E-155
CAMK2N1	ENSG00000162545	6.09	62.924	-3.173	4.68E-177
CAMP	ENSG00000164047	0.33	3.095	-1.622	5.99E-109
CAMTA2	ENSG00000108509	19.81	66.332	-1.694	1.94E-149
CAPN10	ENSG00000142330	10.12	25.56	-1.256	5.10E-89
CAPN2	ENSG00000162909	91.23	203.854	-1.151	1.35E-83
CAPN3	ENSG00000092529	3.01	35.71	-3.195	1.03E-230
CAPN8	ENSG00000203697	2.02	37.984	-3.69	1.32E-142
CAPN9	ENSG00000135773	0.35	4.19	-1.943	2.29E-148
CAPNS2	ENSG00000256812	12.35	0.16	3.525	1.03E-125
CAPRIN2	ENSG00000110888	7.175	17.9	-1.209	1.36E-68
CAPS	ENSG00000105519	13.85	32.83	-1.188	7.17E-27
CARD14	ENSG00000141527	3.23	0.92	1.14	4.56E-84
CARD16	ENSG00000204397	23.494	61.641	-1.355	1.09E-107
CARD8	ENSG00000105483	12.595	40.154	-1.598	1.07E-181
CARD9	ENSG00000187796	1.34	5.39	-1.449	1.01E-114
CASC3	ENSG00000108349	30.495	67	-1.11	7.92E-86
CASC5	ENSG00000137812	3.545	0.455	1.643	9.16E-195
CASC9	ENSG00000249395	12.455	0	3.75	3.51E-230
CASK	ENSG00000147044	33.385	9.905	1.657	5.32E-156
CASKIN2	ENSG00000177303	7.7	41.661	-2.294	3.12E-203
CASP10	ENSG00000003400	5.44	12.49	-1.067	3.67E-104
CASP12	ENSG00000204403	0.09	2.105	-1.51	3.59E-191
CASQ2	ENSG00000118729	0.14	3.4	-1.948	1.80E-186
CASS4	ENSG00000087589	1.355	12.685	-2.539	3.44E-217
CASZ1	ENSG00000130940	6.72	15.895	-1.13	1.39E-75
CAT	ENSG00000121691	35.346	99.077	-1.461	2.88E-104
CATIP	ENSG00000158428	0.17	2.67	-1.649	3.19E-141
CATIP-AS1	ENSG00000225062	0.6	4.18	-1.695	4.55E-145
CATSPER1	ENSG00000175294	0.435	1.975	-1.052	2.31E-82
CAV1	ENSG00000105974	47.899	294.954	-2.597	1.08E-128
CBFA2T3	ENSG00000129993	1.995	14.89	-2.407	3.32E-163
CBLC	ENSG00000142273	23.05	1.37	3.343	1.71E-237
CBR1	ENSG00000159228	121.92	49.073	1.296	1.19E-56
CBR3	ENSG00000159231	14.545	4.12	1.602	8.56E-84
CBX1	ENSG00000108468	59.699	25.68	1.186	1.89E-104
CBX2	ENSG00000173894	7.96	1.405	1.897	8.36E-114
CBX7	ENSG00000100307	8.165	36.89	-2.048	7.72E-183
CCAT1	ENSG00000247844	1.51	0	1.328	7.77E-66
CCBE1	ENSG00000183287	0.44	9.29	-2.837	4.79E-246
CCDC102B	ENSG00000150636	3.37	14.83	-1.857	1.31E-143
CCDC107	ENSG00000159884	18.109	41.336	-1.148	8.53E-100
CCDC13	ENSG00000244607	0.33	1.795	-1.071	2.19E-150
CCDC130	ENSG00000104957	21.22	58.85	-1.43	6.51E-83
CCDC138	ENSG00000163006	4.39	1.105	1.356	2.22E-143
CCDC14	ENSG00000175455	16.825	36.066	-1.056	6.97E-33
CCDC141	ENSG00000163492	0.14	1.51	-1.139	1.23E-86
CCDC146	ENSG00000135205	2.965	7.1	-1.031	8.22E-48
CCDC149	ENSG00000181982	4.59	11.305	-1.138	5.86E-101
CCDC152	ENSG00000198865	1.04	4.39	-1.402	1.45E-103
CCDC154	ENSG00000197599	0.36	2.1	-1.189	2.97E-79
CCDC159	ENSG00000183401	15.1	50.811	-1.686	2.97E-158
CCDC167	ENSG00000198937	45.03	13.585	1.658	1.70E-167
CCDC17	ENSG00000159588	0.61	5.94	-2.108	3.22E-102
CCDC180	ENSG00000197816	0.74	5.505	-1.902	2.43E-156
CCDC183	ENSG00000213213	0.44	3.125	-1.518	7.87E-160
CCDC34	ENSG00000109881	13.305	2.02	2.244	1.20E-211
CCDC37	ENSG00000163885	0.135	2.36	-1.566	2.66E-72
CCDC39	ENSG00000145075	0.32	2.935	-1.576	1.03E-158
CCDC40	ENSG00000141519	1.685	5.59	-1.295	2.26E-91
CCDC42B	ENSG00000186710	0.21	1.57	-1.087	5.15E-56
CCDC58	ENSG00000160124	51.255	13.07	1.893	4.27E-201
